new_seasons_id,recipe_name,recipe_link,recipe_image,ingredients,directions
100010,Castelvetrano Olives with Lemon Zest,https://www.newseasonsmarket.com/recipes/castelvetrano-olives-with-lemon-zest/,https://cdn.newseasonsmarket.com/wp-content/uploads/2016/05/CastelvetranoOlives-1.jpg,"['1 lb pitted Castelvetrano olives', '1/4 cup extra virgin olive oil', 'zest of 2 lemons', 'juice of 1 lemon']","['Toss olives with olive oil, zest and juice. Let sit at least 1 hour before serving.', 'These olives are great with cheese platters, salads and as garnishes.', 'Use leftover olive oil for a light salad dressing']"
100011,Angel Eggs with Salmon,https://www.newseasonsmarket.com/recipes/angel-eggs-with-salmon/,,"['6 eggs, hardboiled, peeled and cooled', '3 ounces wild salmon, cooked', '1/2 large ripe avocado', '1-3 teaspoons fresh lemon juice', '1-2 tablespoons fresh dill, minced', '2 tablespoons scallions, finely sliced', 'paprika for sprinkling (optional)', 'salt & pepper, to taste']","['Slice peeled eggs in half lengthwise. Gently scoop the yolks into a medium mixing bowl and place the whites on a serving tray. Mash yolks into small crumbly pieces with a fork. In a food processor, blend salmon, avocado, lemon juice and dill until well mixed. Add salmon mixture, salt and pepper to the mixing bowl of yolks. Combine well. Fill eggs with yolk/salmon mixture. Garnish with scallions and paprika if desired.', 'Tip: to keep eggs from sliding all over your serving tray, before filling, slice just enough egg white off of the bottom of each half to make egg white flat. Alternatively, you can line serving tray with a bed of kale to keep eggs in place']"
100012,"Apples, Nuts and Cheese, Please!",https://www.newseasonsmarket.com/recipes/apples-nuts-and-cheese-please/,,"['1 tart apple, sliced', '4-6 ounces hard cheese, such as a sharp cheddar, sliced or cubed', '1/4 cup almonds, soaked and dried']","['Arrange attractively on a platter, or pack it up for an easy on the go snack!']"
100013,Blackberry Chia Jam,https://www.newseasonsmarket.com/recipes/blackberry-chia-jam/,https://cdn.newseasonsmarket.com/wp-content/uploads/2016/05/blackberryChiaJam.jpg,"['1 cup blackberries', '1 tablespoon chia seeds', '2 tablespoons water', '1 tablespoon real maple syrup', '1 teaspoon vanilla extract']",['Place all ingredients in a food processor. Pulse until desired consistency is reached. Minimal blending results in a jam-like consistency. Further blending will produce jelly. Pour mixture into a glass jar and chill for 60 minutes before serving.']
100014,"Tempeh, Your Way",https://www.newseasonsmarket.com/recipes/tempeh-your-way/,,"['1/2 teaspoon coconut oil', '3-5 oz tempeh, seasoned and sliced into thin strips', '1/4 cup cultured cream cheese or vegan cream cheese', '1 sprouted grain tortilla', '1/2 cup spinach, sliced into thin ribbons', '1/2 avocado, sliced', '2 tablespoons mango chutney', '1 pinch freshly ground pepper', '1 pinch sea salt']","['In a small pan, melt coconut oil over medium-low heat. Add tempeh, warm gently, and set aside. Spread cream cheese or vegan substitute evenly over tortilla. Distribute spinach on one half of the tortilla. Place tempeh and avocado lengthwise on top of spinach layer. Drizzle with mango chutney and sprinkle with salt and pepper to taste.', 'Starting at the side of the tortilla with the fillings, begin rolling all ingredients up like a rug. Continue rolling tightly until wrap is complete. Cut in half on the diagonal and secure with toothpicks if needed.']"
100015,Veggie Stuffed Mushrooms,https://www.newseasonsmarket.com/recipes/veggie-stuffed-mushrooms/,,"['15 medium-size cremini mushrooms, stems removed (save stems)', '1/2 tablespoon olive oil', '1/4 cup finely chopped sweet onion', '1/4 cup finely chopped mushroom stems', '1/3 cup roasted red peppers', '5 oz frozen spinach, thawed and excess fluid squeezed out', '1-1 1/2 tablespoon nutritional yeast', 'Sea salt and pepper to taste', 'Balsamic reduction for drizzling (optional)']","['Preheat oven to 375 degrees F. In a skillet, over medium heat, sauté onions and mushrooms stems with olive oil for 8-10 minutes or until onions are translucent. Add roasted red peppers and spinach and heat another 2-3 minutes. Remove from heat and stir in nutritional yeast. Add sea salt and pepper to taste. Dividing evenly, fill mushroom caps with veggie mix. Bake for 25-30 minutes. Drizzle with balsamic reduction before serving if desired.']"
100016,White Bean Turkey Chili,https://www.newseasonsmarket.com/recipes/white-bean-turkey-chili/,,"['1 lb ground turkey, cooked', '1 15oz can of low sodium white beans, including liquid', '2 cups chicken broth', '1/4 cup tomatillo salsa', 'White pepper and sea salt to taste', '1/4 cup chopped fresh cilantro', '1/2 cup sour cream']",['Throw everything in a pot and let simmer for 30-45 minutes before serving. Great with tortilla chips or cornbread.']
100017,Tangy Coleslaw,https://www.newseasonsmarket.com/recipes/tangy-coleslaw/,,"['1/4 cup apple cider vinegar', '1 tablespoon gluten-free mustard', '1 tablespoon raw honey or maple syrup', '1/4 cup extra virgin olive oil', '1 1/2 teaspoons celery seed', 'Sea salt and pepper to taste', '1 small head green cabbage, finely shredded', '1 large carrot, grated', '1 cup shredded vegetables of choice (such as snap peas, radishes, broccoli, etc.)']","['Whisk together dressing ingredients (vinegar, mustard, honey or maple syrup, olive oil, celery seed, and salt and pepper) in a bowl. Adjust seasoning to taste. Toss with cabbage and other veggies.']"
100018,Sweet Potato-Crusted Quiche,https://www.newseasonsmarket.com/recipes/sweet-potato-crusted-quiche/,,"['2 cups coarsely grated sweet potato or yam', '4 tablespoons ghee, divided', 'Salt and pepper to taste', '1 shallot, finely chopped', '1 1/2 cups finely chopped cauliflower', '1-2 cups chopped kale', '2-3 cloves garlic, minced', '8 eggs', 'Additional salt and pepper', '1/3 cup crumbled goat cheese']","['Preheat oven to 450°F and melt 2 tablespoons of ghee to be mixed with potato shreds. Squeeze sweet potato shreds with a paper towel or in cheesecloth to press out excess liquid. Add potato shreds to a 10″ pie pan with ghee, salt, and pepper, stir to combine, then press into the bottom of pan and up sides to form a crust. Bake for 10-15 minutes or until potatoes begin to brown on the surface and edges.', 'While crust bakes, sauté shallot in remaining 2 tablespoons of ghee until translucent. Add cauliflower, sauté until cauliflower is tender, 4-5 minutes. Covering pan will help soften cauliflower more quickly. Add garlic and kale, and sauté one more minute. Remove pie pan from oven and decrease oven temp to 350°F.', 'Distribute cooked veggies evenly over potato crust. Whisk together eggs, and a few shakes of salt and pepper, then pour over veggies. Add cheese and bake 25-30 minutes, or until eggs are set. Allow to cool 10 minutes prior to slicing.']"
100019,Sardine Surprise,https://www.newseasonsmarket.com/recipes/sardine-surprise/,,"['1 can of your favorite sardines', '1/3 cup finely chopped onion', '1/2 celery stalk, finely chopped', '2 teaspoons horseradish mustard', '1 tablespoon extra virgin olive oil', '1 generous squeeze of fresh lemon juice (about 1 teaspoon)', '1 pinch sea salt', '1 pinch lemon pepper']","['Drain sardines, place in a bowl, and chop into chunks with a fork. Add celery and onion to sardines and stir. In a separate bowl, blend horseradish mustard, olive oil, lemon juice, sea salt and lemon pepper. Combine dressing with sardine mixture and serve.']"
100020,Gorgonzola Spread with Mango and Scallion,https://www.newseasonsmarket.com/recipes/gorgonzola-spread-with-mango-and-scallion/,,"['8 oz Greek yogurt or labnah', '2-3 scallions, chopped. Include some green', '1 cup dried mango, coarsley chopped', '8 oz chopped Gorgonzola (or blue if preferred)']","['Mix all ingredients together in medium mixing bowl. Chill. Serve with New Seasons Market Crostini, crackers or bread.']"
100021,Grilled Prosciutto with Melon,https://www.newseasonsmarket.com/recipes/grilled-prosciutto-with-melon/,https://cdn.newseasonsmarket.com/wp-content/uploads/2016/05/DISH_sub_feature_2_SQUARE_8-10-18.jpg,"['8 thin slices of prosciutto', '1 cantaloupe melon, peeled, seeded and sliced into 8 wedges', 'Toothpicks', 'Oil for grill grate- your choice, olive, coconut']","['Preheat grill to medium high. Wrap 1 piece of prosciutto around each piece of melon in a spiral shape so that you cover as much of the melon as possible. If necessary, use toothpicks to secure. Oil grill grate and grill each slice 3-4 minutes per side, prosciutto will crisp and turn slightly darker. Serve warm.']"
100022,Grilled Corn with Chipotle Lime Compound Butter,https://www.newseasonsmarket.com/recipes/grilled-corn-with-chipotle-lime-compound-butter/,,"['5 tablespoons unsalted butter, softened', '1 teaspoon chipotle chile in adobo sauce, minced', '1 teaspoon adobo sauce from chiles', '1 teaspoon minced garlic', '1 tablespoons grated lime zest', '1 teaspoon honey', '1 tablespoon fresh chopped cilantro', '1/2 teaspoon coarse salt', '3 tablespoons lime juice (add in two steps)', '4 ears of corn', 'Chipotle Lime Compound Butter', 'Salt and pepper']","['Compound butter:', 'Using a food processor, combine all ingredients, adding lime juice in 2 additions, allowing it to incorporate before adding more.', 'Grilling the corn:', 'Preheat grill to high. Peel back the husk on the corn so that the kernels are exposed and you are able to use the husk as a handle. Remove the silk. Brush with compound butter and grill over high heat 8-10 minutes or until brown and starting to pop.']"
100023,Grilled Asparagus,https://www.newseasonsmarket.com/recipes/grilled-asparagus/,,"['1 lb asparagus, trimmed', '3 tablespoons sunflower oil', '1 tablespoon fresh lemon juice', 'kosher salt to taste', '3 tablespoons shredded Parmesan Reggiano cheese']","['Preheat grill to medium high. In a bowl, drizzle oil over asparagus coating evenly. Grill for 2 to 3 minutes on each side. Plate asparagus and drizzle with lemon juice. Lightly salt and top with Parmesan Reggiano.']"
100024,Crispy Plantain Chips,https://www.newseasonsmarket.com/recipes/crispy-plantain-chips/,https://cdn.newseasonsmarket.com/wp-content/uploads/2016/05/CrispyPlantainChips.jpg,"['1 green plantain peeled and sliced', '3/4 to 1 cup coconut oil, plus more if needed for frying', 'salt, to taste']","['Heat the coconut oil in a sauté pan until hot. Carefully place plantain slices in pan, cook on each side until crispy and golden brown. Remove with slotted spoon and place on paper towels to drain. Sprinkle with salt and serve hot.']"
100025,Shredded Beet and Kale Salad,https://www.newseasonsmarket.com/recipes/shredded-beet-and-kale-salad/,,"['2 bunches of kale, stems removed and leaves sliced thinly', '2 large red beets, peeled and grated', '1 red onion, peeled and sliced paper thin', '1 pinch sea salt', '1/2 teaspoon black pepper', '1/3 cup plus 1 tablespoon apple cider vinegar', '2-3 teaspoons raw honey', '2 tablespoons chopped fresh dill', '1 clove garlic, minced', '1/2 cup extra virgin olive oil', '1/2-3/4 cup sprouted almonds', '1/2 cup feta cheese (optional)']","['Place kale, beets and onion in a large mixing bowl and season with salt and pepper. Mix the vinegar and honey together and pour over the veggies, mixing thoroughly. Set aside. (This can be done up to a couple of hours in advance to marinate the veggies.)', 'Whisk together the dill, garlic, and olive oil. Toss the oil mixture with the kale, beets and onion. Add sprouted almonds and feta cheese(optional). Mix and serve. It’s best the next day as it has the most time to marinate, but it’s great either way!']"
100026,Vegan Tuna Salad,https://www.newseasonsmarket.com/recipes/vegan-tuna-salad/,,"['1 19oz can garbanzo beans (chickpeas), drained and mashed with a fork', '2 tablespoon vegan mayo (or 1/2 ripe avocado)', '2 teaspoon spicy brown mustard', '1 tablespoon pickle relish (sweet or dill), or 1 medium pickle, finely diced', '2 green onions, chopped', 'Salt and pepper to taste']","['In a medium bowl, combine bean mash, mayo or avocado, pickles, chopped onions, salt and pepper. Mix well.']"
100027,Sweet and Spicy Nut and Pretzel Mix,https://www.newseasonsmarket.com/recipes/sweet-and-spicy-nut-and-pretzel-mix/,,"['4 cups large raw nuts (pecans, almonds or cashews)', '2 tablespoons butter, melted', '1/3 cup dark brown sugar', '1 teaspoon EACH ground allspice, cloves, ginger and cayenne', '1/2 teaspoon cinnamon', '1 tablespoon unsweetened cocoa powder', '3 tablespoons maple syrup', '2 teaspoon kosher salt, if desired', '4 cups gluten free pretzels']","['Preheat oven to 350°. Line a large cookie sheet with foil and spread nuts in an even layer. Bake for about 10 minutes, turning the cookie sheet and stirring halfway through, just until nuts are lightly toasted.', 'Meanwhile, in a large bowl, mix the butter, brown sugar, spices, cocoa and maple syrup. Toss in warm nuts until all are coated. Add in the pretzels and salt, if using. Stir gently to mix, taking care not to break the pretzels. Return mixture to lined cookie sheet, bake for 12-15 minutes, stirring once or twice and watching so they don’t burn. Remove from oven and spread out on a another pan to cool completely.', 'Store in an airtight container.']"
100028,Simple Bacon-Wrapped Prawns,https://www.newseasonsmarket.com/recipes/simple-bacon-wrapped-prawns/,,"['20 large raw prawns, peeled and deveined', 'Salt and pepper to taste', '1 tart apple, cored and sliced thinly', '20 thin slices of bacon', '1 tablespoon ghee or coconut oil', '2 lemons, cut into wedges', '1/4 cup fresh parsley, finely chopped', 'Extra virgin olive oil, for drizzling']","['Lightly season prawns with salt and pepper. Place a slice of apple on each prawn and wrap completely with bacon. In a large pan, melt ghee or coconut oil over medium heat. Arrange prawns on their sides in pan and cook for several minutes. Do not turn over until bacon is fully cooked and prawns become slightly crispy. Turn over and cook the other side until crispy. Remove from pan to serving tray. Garnish with lemon wedges, parsley and a drizzle of extra virgin olive oil if desired.']"
100029,"Grilled Halibut, Romaine and Tapenade Bundles",https://www.newseasonsmarket.com/recipes/grilled-halibut-romaine-and-tapenade-bundles/,https://cdn.newseasonsmarket.com/wp-content/uploads/2016/06/Grilled-Halibut.jpg,"['12 very large romaine lettuce', '1/2 cup green olive tapenade', '1 lb cod or halibut fillets (1 in. thick)', 'extra virgin olive oil', 'fresh lemon juice or lemon wedges']","['Heat grill to medium (about 375°).', 'Cook lettuce leaves 2 or 3 at a time in a pot of boiling water until ribs are flexible, 2-3 minutes; as done, transfer to a bowl of ice water. Lay leaves flat with smooth sides up on kitchen towels and pat dry. Spread the 8 largest leaves with tapenade. Cut fish into 8 pieces; set 1 at base of each leaf. If leaf isn’t big enough to enclose fish, overlap leaf with another. Roll up each bundle from base, folding in sides. Brush bundles with oil.', 'Grill, turning once until fish is just opaque and up to temperature, about 8 minutes. Serve with lemon.']"
100030,Blueberry Ketchup,https://www.newseasonsmarket.com/recipes/blueberry-ketchup/,,"['1 tablespoon olive oil', '2 tablespoons minced shallot, about 1 medium shallot', '2 teaspoons minced fresh ginger', '1 medium garlic clove, minced', '2 cups blueberries', '1/4 cup balsamic vinegar', '1/4 cup cococnut sugar', '1/4 teaspoon kosher salt']","['Heat oil over medium heat. Add shallot and cook until softened, but not browned, about 4 minutes. Add ginger and garlic and cook until fragrant, about 30 seconds. Add blueberries, vinegar, coconut sugar, salt and bring to a boil. Reduce heat and simmer until thickened, about 30-45 minutes. Let cool to room temperature, pour into an airtight container and store in refrigerator.']"
100031,Green Mayonnaise,https://www.newseasonsmarket.com/recipes/green-mayonnaise/,,"['1/2 cup coarsely chopped arugula', '1/2 cup packed fresh herbs—tarragon, oregano, parsley, thyme', '1/3 cup reduced fat plain Greek yogurt', 'salt and pepper']",['Pulse all ingredients in a food processor . Add salt and pepper to taste.']
100032,Figgy Pizza,https://www.newseasonsmarket.com/recipes/figgy-pizza/,,"['2 8"" pizza crusts or dough to make', '1 large Walla Walla onion, sliced thin', '3 tablespoons extra virgin olive oil', '1/2 lb New Seasons Market bulk Hot Italian Pork Sausage', '1/2 lb Beemster Vlaskaaas, shredded', '1 pint fresh figs, sliced thin']","['Preheat oven to 400°F. Heat skillet over medium heat. Toss the onions in the olive oil and then add them to the hot pan. Cook over medium heat, stirring frequently until onions are caramelized. Salt and pepper onions to taste. Remove from the pan. You can use this same pan to cook the sausage. Cook meat until done breaking up as you go. Set aside. To assemble the pizzas: place both crusts on a cookie sheet, top with a little olive oil then the caramelized onion. Top with the cheese, sausage, and figs. Place in the hot oven about 15-20 minutes until crust is brown and bubbly.']"
100033,Roasted Figs with Gorgonzola,https://www.newseasonsmarket.com/recipes/roasted-figs-with-gorgonzola/,,"['12 ripe figs, stems removed', '5 tablespoons olive oil', '1/2 cup gorgonzola', '1/3 cup honey', '3 teaspoons rosemary leaves']","['Preheat oven to 400°F. With a paring knife, slice down through stem end of fig, about 3/4"". Make a second 3/4” cut perpendicular to the first one so that you have an X shaped cut on top of each fig. Gently pry the edges apart and stuff each fig with a teaspoon of the gorgonzola. Place the figs upright on a baking sheet and drizzle the olive oil over the top. Place in preheated oven and bake for about 10 minutes or until figs are soft and tender. When serving, place figs on a plate and top with honey, rosemary and any remaining gorgonzola. Serve warm and enjoy.']"
100034,Fig and Arugula Naan Pizza,https://www.newseasonsmarket.com/recipes/fig-and-arugula-naan-pizza/,,"['8 oz goat cheese', '1 lb fresh figs, sliced', '1/2 lb arugula', 'drizzle of balsamic vinegar', 'drizzle of olive oil', '4 Naan breads']","['Preheat oven to 425°F. Place breads on baking sheet and spread cheese on Naan breads evenly. Top with arugula. Arrange figs and drizzle with balsamic vinegar and olive oil lightly over everything. Bake for 10 to 15 minutes or until cheese is melted, figs are cooked and crust is crisp. You may bake directly on oven shelf or pizza stone but times and crust will vary.']"
100035,Asparagus Fritters,https://www.newseasonsmarket.com/recipes/asparagus-fritters/,,"['1 cup garbanzo bean flour', '1 teaspoon curry powder', '1 teaspoon garlic powder', '1/2 teaspoon salt', '2/3 cup cold water', '1/2 pound asparagus, trimmed and chopped into 1/2 inch pieces', 'several cups high heat oil, for deep frying']","['In a medium bowl, combine garbanzo flour, curry and garlic powders, and salt and whisk to combine. Add water and stir to make a smooth batter. Stir in asparagus and set aside until ready to use. Heat oil in a medium-sized heavy duty pot to 350 degrees, or in a deep fryer according to directions. Do not fill the pot more that 1/3 full of oil. When the oil reaches temperature, add fritters, one heaping tablespoon at a time. Do not crowd the pan. Fry the fritters until golden brown, turning over if necessary. Remove fritters with a slotted spoon and drain on paper towels. Fry the remainder of the batter in batches. Serve with your favorite hot sauce, if desired.']"
100036,Deviled Duck Eggs,https://www.newseasonsmarket.com/recipes/deviled-duck-eggs-2/,https://cdn.newseasonsmarket.com/wp-content/uploads/2016/10/deviledduggeggs.jpg,"['1 dozen hard-boiled duck eggs', '2 tablespoons whole milk yogurt', '1 teaspoon pickle juice (from naturally fermented pickles if possible)', '1 teaspoon mustard', '1/8 teaspoon garlic powder', 'salt and pepper to taste', 'smoked paprika for garnish']","['Peel eggs and slice in half lengthwise. Remove yolks and place in a mixing bowl. Mash yolks with a fork then stir in yogurt, pickle juice, mustard and garlic. Add salt and pepper to taste, mix well. Fill each egg white with a dollop of the yolk filling and garnish eggs with a sprinkle of smoked paprika.']"
100037,Rice and Red Lentil Salad,https://www.newseasonsmarket.com/recipes/rice-red-lentil-salad/,,"['1/2 cup rice*', '1 1/2 cups water', '1/2 cup red lentils', '1 cup water', '1 tablespoon dijon mustard', '1/2 lemon, juiced', '1/4 cup olive oil', '1 cup scallions, chopped']","['Gently wash and drain the rice. In a pot, bring 1 1/2 cups water and 1/2 cup rice to boil, then reduce heat to simmer and leave covered for 45 minutes. Remove from heat. In a separate pot, bring 1 cup water and 1/2 cup lentils to a boil, then reduce heat to simmer and leave covered for 15 minutes. Remove from heat. Once fully cooked, combine lentils and rice and rinse in a strainer under cold water. In separate dish combine mustard, lemon juice, olive oil, and salt. Whisk until smooth and toss into rice and lentil combination. Add chopped scallions and mix again to combine all ingredients. Refrigerate and served chilled.']"
