new_seasons_id,category
100444,SALADS
100445,SALADS
100446,SALADS
100447,SALADS
100448,SALADS
100449,SALADS
100450,SALADS
100451,SALADS
100452,SALADS
100453,SALADS
100454,SALADS
100455,SALADS
100456,SALADS
100457,SALADS
100458,SALADS
100459,SALADS
100460,SALADS
100461,SALADS
100462,SALADS
100463,SALADS
100464,SEAFOOD
100465,SEAFOOD
100466,SEAFOOD
100467,SEAFOOD
100468,SEAFOOD
100469,SEAFOOD
100470,SEAFOOD
100471,SEAFOOD
100472,SEAFOOD
100473,SEAFOOD
100474,SEAFOOD
100475,SEAFOOD
100476,SEAFOOD
100477,SEAFOOD
100478,SEAFOOD
100479,SEAFOOD
100480,SEAFOOD
100481,SEAFOOD
100482,SEAFOOD
100483,SEASONAL
100484,SEASONAL
100485,SEASONAL
100486,SEASONAL
100487,SEASONAL
100488,SEASONAL
100489,SEASONAL
100490,SEASONAL
100491,SEASONAL
100492,SEASONAL
100493,SEASONAL
100494,SEASONAL
100495,SEASONAL
100496,SEASONAL
100497,SEASONAL
100498,SEASONAL
100499,SEASONAL
100500,SEASONAL
100501,SEASONAL
100502,SEASONAL
100503,SEASONAL
100504,SEASONAL
100505,SEASONAL
100506,SEASONAL
100507,SEASONAL
100508,SEASONAL
100509,SEASONAL
100510,SEASONAL
100511,SEASONAL
100512,SEASONAL
100513,SEASONAL
100514,SEASONAL
100515,SEASONAL
100516,SEASONAL
100517,SEASONAL
100518,SEASONAL
100519,SEASONAL
100520,SEASONAL
100521,SEASONAL
100522,SEASONAL
100523,SEASONAL
100524,SEASONAL
100525,SEASONAL
100526,SEASONAL
100527,SEASONAL
100528,SEASONAL
100529,SEASONAL
100530,SEASONAL
100531,SEASONAL
100532,SEASONAL
100533,SEASONAL
100534,SEASONAL
100535,SEASONAL
100536,SEASONAL
100537,SEASONAL
100538,SEASONAL
100539,SEASONAL
100540,SEASONAL
100541,SEASONAL
100542,SEASONAL
100543,SEASONAL
100544,SEASONAL
100545,SEASONAL
100546,SEASONAL
100547,SEASONAL
100548,SEASONAL
100549,SEASONAL
100550,SEASONAL
100551,SEASONAL
100552,SEASONAL
100553,SEASONAL
100554,SEASONAL
100555,SEASONAL
100556,SEASONAL
100557,SEASONAL
100558,SEASONAL
100559,SEASONAL
100560,SEASONAL
100561,SEASONAL
100562,SEASONAL
100563,SEASONAL
100564,SEASONAL
100565,SEASONAL
100566,SEASONAL
100567,SEASONAL
100568,SEASONAL
100569,SEASONAL
100570,SEASONAL
100571,SEASONAL
100572,SEASONAL
100573,SEASONAL
100574,SEASONAL
100575,SEASONAL
100576,SEASONAL
100577,SEASONAL
100578,SEASONAL
100579,SEASONAL
100580,SEASONAL
100581,SEASONAL
100582,SEASONAL
100583,SEASONAL
100584,SEASONAL
100585,SEASONAL
100586,SEASONAL
100587,SEASONAL
100588,SEASONAL
100589,SEASONAL
100590,SEASONAL
100591,SEASONAL
100592,SEASONAL
100593,SIDES
100594,SIDES
100595,SIDES
100596,SIDES
100597,SIDES
100598,SIDES
100599,SIDES
100600,SIDES
100601,SIDES
100602,SIDES
100603,SIDES
100604,SIDES
100605,SIDES
100606,SIDES
100607,SIDES
100608,SIDES
100609,SIDES
100610,SIDES
100611,SIDES
100612,SIDES
100613,SIDES
100614,SIDES
100615,SIDES
100616,SIDES
100617,SIDES
100618,SIDES
100619,SIDES
100620,SIDES
100621,SIDES
100622,SIDES
100623,SIDES
100624,SIDES
100625,SIDES
100626,SIDES
100627,SIDES
100628,SIDES
100629,SIDES
100630,SIDES
100631,SIDES
100632,SIDES
100633,SIDES
100634,SIDES
100635,SIDES
100636,SIDES
100637,SIDES
100638,SIDES
100639,SIDES
100640,SIDES
100641,SIDES
100642,SIDES
100643,SIDES
100644,SIDES
100645,SIDES
100646,SIDES
100647,SIDES
100648,SIDES
100649,SIDES
100650,SIDES
100651,SIDES
100652,SIDES
100653,SIDES
100654,SIDES
100655,SIDES
100656,SIDES
100657,SIDES
100658,SIDES
100659,SIDES
100660,SIDES
100661,SIDES
100662,SIDES
100663,SNACKS
100664,SNACKS
100665,SNACKS
100666,SNACKS
100667,SNACKS
100668,SNACKS
100669,SNACKS
100670,SNACKS
100671,SNACKS
100672,SNACKS
100673,SNACKS
100674,SNACKS
100675,SNACKS
100676,SNACKS
100677,SNACKS
100678,SNACKS
100679,SNACKS
100680,SNACKS
100681,SNACKS
100682,SNACKS
100683,SNACKS
100684,SNACKS
100685,SNACKS
100686,SNACKS
100687,SNACKS
100688,SNACKS
100689,SNACKS
100690,SNACKS
100691,SNACKS
100692,SNACKS
100693,SNACKS
100694,SNACKS
100695,SNACKS
100696,SNACKS
100697,SNACKS
100698,SNACKS
100699,SNACKS
100700,SNACKS
100701,SNACKS
100702,SOUPS
100703,SOUPS
100704,SOUPS
100705,SOUPS
100706,SOUPS
100707,SOUPS
100708,SOUPS
100709,SOUPS
100710,SOUPS
100711,SOUPS
100712,SOUPS
100713,SOUPS
100714,SOUPS
100715,SPECIAL DIETS
100716,SPECIAL DIETS
100717,SPECIAL DIETS
100718,SPECIAL DIETS
100719,SPECIAL DIETS
100720,SPECIAL DIETS
100721,SPECIAL DIETS
100722,SPECIAL DIETS
100723,SPECIAL DIETS
100724,SPECIAL DIETS
100725,SPECIAL DIETS
100726,SPECIAL DIETS
100727,SPECIAL DIETS
100728,SPECIAL DIETS
100729,SPECIAL DIETS
100730,SPECIAL DIETS
100731,SPECIAL DIETS
100732,SPECIAL DIETS
100733,SPECIAL DIETS
100734,SPECIAL DIETS
100735,SPECIAL DIETS
100736,SPECIAL DIETS
100737,SPECIAL DIETS
100738,SPECIAL DIETS
100739,SPECIAL DIETS
100740,SPECIAL DIETS
100741,SPECIAL DIETS
100742,SPECIAL DIETS
100743,SPECIAL DIETS
100744,SPECIAL DIETS
100745,SPECIAL DIETS
100746,SPECIAL DIETS
100747,SPECIAL DIETS
100748,SPECIAL DIETS
100749,SPECIAL DIETS
100750,SPECIAL DIETS
100751,SPECIAL DIETS
100752,SPECIAL DIETS
100753,SPECIAL DIETS
100754,SPECIAL DIETS
100755,SPECIAL DIETS
100756,SPECIAL DIETS
100757,SPECIAL DIETS
100758,SPECIAL DIETS
100759,SPECIAL DIETS
100760,SPECIAL DIETS
100761,SPECIAL DIETS
100762,SPECIAL DIETS
100763,SPECIAL DIETS
100764,SPECIAL DIETS
100765,SPECIAL DIETS
100766,SPECIAL DIETS
100767,SPECIAL DIETS
100768,SPECIAL DIETS
100769,SPECIAL DIETS
100770,SPECIAL DIETS
100771,SPECIAL DIETS
100772,SPECIAL DIETS
100773,SPECIAL DIETS
100774,SPECIAL DIETS
100775,SPECIAL DIETS
100776,SPECIAL DIETS
100777,SPECIAL DIETS
100778,SPECIAL DIETS
100779,SPECIAL DIETS
100780,SPECIAL DIETS
100781,SPECIAL DIETS
100782,SPECIAL DIETS
100783,SPECIAL DIETS
100784,SPECIAL DIETS
100785,SPECIAL DIETS
100786,SPECIAL DIETS
100787,SPECIAL DIETS
100788,SPECIAL DIETS
100789,SPECIAL DIETS
100790,SPECIAL DIETS
100791,SPECIAL DIETS
100792,SPECIAL DIETS
100793,SPECIAL DIETS
100794,SPECIAL DIETS
100795,SPECIAL DIETS
100796,SPECIAL DIETS
100797,SPECIAL DIETS
100798,SPECIAL DIETS
100799,SPECIAL DIETS
100800,SPRING
100801,SPRING
100802,SPRING
100803,SPRING
100804,SPRING
100805,SPRING
100806,SPRING
100807,SPRING
100808,SPRING
100809,SPRING
100810,SPRING
100811,SPRING
100812,SPRING
100813,SPRING
100814,SPRING
100815,SUMMER
100816,SUMMER
100817,SUMMER
100818,SUMMER
100819,SUMMER
100820,SUMMER
100821,SUMMER
100822,SUMMER
100823,SUMMER
100824,SUMMER
100825,SUMMER
100826,SUMMER
100827,SUMMER
100828,SUMMER
100829,SUMMER
100830,SUMMER
100831,SUMMER
100832,SUMMER
100833,SUMMER
100834,SUMMER
100835,SUMMER
100836,SUMMER
100837,SUMMER
100838,SUMMER
100839,SUMMER
100840,SUMMER
100841,SUMMER
100842,SUMMER
100843,SUMMER
100844,SUMMER
100845,SUMMER
100846,SUMMER
100847,SUMMER
100848,SUMMER
100849,SUMMER
100850,SUMMER
100851,VEGAN
100852,VEGAN
100853,VEGAN
100854,VEGAN
100855,VEGAN
100856,VEGAN
100857,VEGAN
100858,VEGAN
100859,VEGAN
100860,VEGAN
100861,VEGAN
100862,VEGAN
100863,VEGAN
100864,VEGAN
100865,VEGAN
100866,VEGAN
100867,VEGAN
100868,VEGAN
100869,VEGAN
100870,VEGAN
100871,VEGAN
100872,VEGAN
100873,VEGAN
100874,VEGAN
100875,VEGAN
100876,VEGAN
100877,VEGAN
100878,VEGAN
100879,VEGAN
100880,VEGAN
100881,VEGAN
100882,VEGAN
100883,VEGAN
100884,VEGAN
100885,VEGAN
100886,VEGAN
